No;Komentar
518;hebat perjuanganya bu ngomongngomong sekilas bu rudy mirip ibu kungfu hustle jurusnya teriakan
519;ati ati ketahuan bu rudi diteriakin loh wkkk
520;faisal bayu permana
521;tertawa
522;ente disambel wkwkw
523;hahahaahaaa
526;eh iya mirip keren sih ibu rock roll
527;iya bener
528;yuen qiu
529;beda jauh issshhhh
530;aungan singa bu rudi
531;iya betul miripppppp
532;hahaha baru bilang
533;disampluk sambel bawang nangis ente lurr
534;true jeli bangettt
535;wkwkwkwk iya sepemikiran
536;pengadu nasib
537;hahhahahaj
538;hisap rokok habis
539;auto ngacak baca komen
540;khristina lindawati orang kafir dibanggakan
541;السليم في الجسم السليم solehah heheh bingung jawabnya sampean ap maaf silahkan tanya pd ahli yaa tanya terimakasih yaa pertanyaanya berdoa sampean semoga beri umur panjang sehat selallu keberkahan amin allah
542;janganjangan bu rudi
543;السليم في الجسم السليم solehah kau kafir kali tingkah kau iri bilang
544;minus rol rambut rokok tapinya
545;si ibu ngomongnya medok banget
547;sambell
548;dibanjarmasin
549;bgs gemblenganorg tua
550;pnasaran rasanya mudik insyaalloh bli
551;emma blitar jakarta tanjung duren tempat pisang goreng bu nanik jual sambal bu rudy surabaya
552;dijakarta yah dijual
553;sambel bawangnya maknyus mengalahkan sambel bawangnya bu rudy hehehe favorit banget
554;joshcka
555;joshcka betttttiuuuul
556;joshcka kl beli online gimn caranya
557;betul
558;iya ni nyari borma mulu
559;joshcka jadi penasaran
560;tina ashuri tokped
561;berubah rasane krmn beli sambel bawang rb enak peda lumayan ttp enak
562;amey andi masak enak sih jadi ragu beli
563;enak banget sambel bawang nya wangii
564;amey andi enak
565;expor belanda dung memohon lupa pulang kampung mampis surabaya beli sambal bu rudi denger sambel penasaran bngt
566;pisang goreng otenya maknyos
567;pakai pengawet sihh
568;mika sembiring sambel goreng emang awet mbak bhan pengawet taroh kulkas
569;maju terus sambal bu rudy
570;brunai adannx sambal abc
571;coba ekspor taiwan hongkong laris bnget tuh sambel enak laris manis
572;tembus sydney australia
573;asem banget sambelnya enak
574;adam sambel bu rudy enak dibuat masakan nasi goreng
575;adam beli basi kali
576;beda lidah takutnya
577;beda negara beda rasa bro hehe ciri khas
578;enak sambelnya
579;dijual online yah
580;supermarket bray
581;dibanjarmasin
582;jastip gaes
583;nonton makan nasi jinggosambal bawang bu rudi
584;disurabaya gakk
585;supermarket
586;nonton makan indomie ayam bawang pakai sambel bu rudy xd
587;zan masa
588;zan masa sih
589;enak
590;sambel ni halal mbak
591;anita taib bikin halal sambal apanya cabebawangminyak aneh
592;tempat kerja ku
593;diah elf mochi kasih alamat nya pleaasseeee
594;foodcourt pasar atum
595;fanny aftanya darma husada utara timurnya karang menjangan kak
596;elizelo zelo kurang kak
597;semarang nyoba
598;olshop banyakyg jual coba tokopediasearch sambel bu rudi
599;galael matahari simpang
600;pesan bisnis manwoman khas indonesia bertolak belakang teori bisnis modern lapangan nya konsumen tau original sambel bu rudy pokok nya perjadin surabaya ibu pesan sambal bu rudy mantabsss
601;nama mbah disebutnya rek bangga deh bakmi mbah bakmi jawa khas jogja letaknya desa bantul xtra sabar kl makan disana antrinya berjam jam
602;jadi pengin icip icip
603;menu makanan resto bu rudi nasi bakarnya enak
604;terknal smbal
605;coba kirim lampung bu
606;salah satu haters nya bilang enak bilang makyusss hahaha
607;coba sambel bu rudi taiwan suka
608;merindukan sambal bu rudi mantapppenakkk
609;udang nya enak
610;sambel favorit ku hmmmm mantap
611;bermain neng tulungagung
612;hebat banget bu rudi motivasi banget
613;lokasi persisnya penasaran ichhh
614;arista adinda zahrany masuk jalan orang jual duren jalan kedungdoro nama jalannya lupa
615;daerah dharmahusada
616;arista adinda zahrany lokasinya pas belakang bapak nito kakak
617;dukuh kupang
618;abid naufal jalan widodarenargopuro namanyaada jalan dharmahusadaada kupang jaya
619;tau mbah
620;jadi lapar nih
621;tetap rendah hati bu rudi sambalnya top banget
622;wkwk gitulah
623;hellena hana heheheh seminggu
624;enak sih
625;bermain nek lampung buk
626;sambal bu rudy enaksaya sedia rumah
627;kueren
628;sambal bawangnya juaraaaa
629;bu rudica yooo
630;sambel bu rudy mantap guys pelayanan cepat baik beli pakai gojek nih hasilnya www youtube comwatchvusvclfpmm
631;punya restoran kaya bu rudy laris banyk makan sukses bu
632;luar
633;kesurabayaslalu membeli
634;besok coba ahh beli sambel bu rudy
636;makan isi nya udang kering sambel bu rudyy
637;halal
638;pikir tolol
639;arif mark idiot bertanya ap jawab ap
640;ahmad aprijal pikir tolol sambel bawang pakai babi
641;arif mark minyak babi tolol panci bekas goreng babi idiot sutil bekas balikin daging babi idiot
642;arif mark bertanya baik baik jawab bilang tolol ank idiot payah emang
643;toko mirip lokasi bazaar makanan punya bu rudy wkwkwkw
644;iklan sampone konyol banget
645;ibu ku kl mask is the besttttt pinte masakkkk
646;orang tionghoa mah ahli nya bisnis jadi bisnis hematoma sederhana ulet biar kaya suka pamer
647;alhamdulillah sambal bu rudi terkenal asia suksesselalu
648;bu rudy panutan ibu ibu pengusaha masa
649;wih canggih keren
650;tamupasienpenumpangcustomer komplen terkadang tamunya dilaporin polisi pasal pencemaran nama baikmelanggar uu ite blablabla
651;rasanya cara beli nya maná
652;lazada hehehe
653;sambelny beneran enakk
654;sambal nikmati
655;jerman senang pulang beli sambel nya bu tunggu mudik hihi
656;jual jerman yah
657;donald duck mahal wajar sih belom menemukan jualan soalnya jualan diem kena petugas denda
658;rosalina altomeni belanda kayaknya susah menemukan barang eksotis australia gampang
659;donald duck gampang menemukan nya
660;pedas umum mangan sambel
661;medan bika ambon bolu gulung ratih
662;tahun warung bu rudi dijalan dharmahusada surabaya ingat waktu jaman kuliahku makan pacar hehehe mantap bu masakannya top banget
663;jadi kangen sambal bu rudy
664;bikin pabrik bu terus bula lowongan kerja babyak wkwjwk
665;tertarik kata bang alexx sambel bu rudi pedas banget pedas gila wkwkw
666;etnis tiong hoa kl njowo njowone orang jawa
667;etnis tionghoa bung tinggal jawa suroboyo medok nyaa
668;boso inggris ae inggris jowo
669;etnis tionghoa surabaya logate medok bos hari pakai bahasa jawa
670;suroboyo hadir
671;surabaya area beli
672;aduh lihat pepesnya bikin ngiler
673;aneh tampang china ngomong jawanya medok heran
674;surabaya bang heran main kemari nonik cantik bening pemain film korea mall besar nya lumayan cuci mata medok banget
675;orang madiun tau pecel bu hehehe
676;dibakar pakai daun bu rudy min
677;ikan hiu
678;emang onta dki minim prestasi
679;hahahaha ngoyo pengikut ahoker
680;ohh dibilang bang alex nih
681;menginspirasi
682;mantap bu rudi konsep perlu ditiru besarpun ushanya pembeli tetap diatas dihargai klau kebanyakan indonesia klau tenar dikomplain peduli pelanggan
683;kaya mamakku kuliner tempat bisi prinsipnya mamakku jadi rindu mamak
684;indomaret nih coba
685;hebat nasehat beliau dibawahnya pembeli sukses trsya bu rudy amiin
686;tau ni sambel chanel bangg alex
687;hebat perjuangnnya
688;sambal buatan kafir makan haram ingat tuhan makanan haram like
689;tolol
690;papua loh bu hebat bu salut usahanya sukses terus bu
691;cina
692;tempat kerjaku disamping pas warungnya bu rudy beliau jadi nasabah preffered nasabah diutamakanbanyak duit pas bu rudy masuk bank banking hall bau masakan enak banget jadi lapar
693;resto fav ku ki sehat terus nggeh bu rudy enak makanan
694;tumben cina nya ramah jutek
695;main mu kurang jauh
696;orang surabaya nya kenal cina surabaya
697;suroboyo cok
698;luar biasaa sesukses
699;disebut bang alex pas main pubgm misal grozali pedas kaya sambal bu rudi setuju like
700;hehe bahasa jowo nya
701;emang maknyos sih sambel hijau nya
702;enak nyoba mahal bikin nagih
703;betul cinta pekerjaan lakukan kendalamasalah menghalangi
704;sambel kesayangan banget
705;setuju bu siap dikomplain kemajuan usaha kaya garuda
706;ii chinese mukanya old korean semagat ii doakan usahku lancar
707;mamak kampung
708;wahh ternyata madiun
709;bu rudii mantaaabb inspirasi
710;katanya enak banget sambel nya bu rudy rasa
711;wanita hebat inspirasi
712;tulungagung
713;bingung enak banget sambalnya dimakan pakai nasi hangat nikmat
714;sambelnya nampol nikmat wkwk
715;jadi pengennnnn taiwan sambel enak laku ayok angkut kesini
716;mantap bgd sambelnya bu rudi
717;semoga ibu jadi pengusaha sukses amin
718;jual online penasaran banget
719;orang kelahiran madiun emang
720;luar bu
721;pembeli dihargai penjual siap dikomplain moto bagus
722;kl solo beli masa online
723;mantap cik
724;enak sambelnya ibukku
725;cocok banget sambel bawa eropa
726;jual sambel namanya sambel teri sambel ikan asin pakai merek namaku semoga kelak succes bu rudi
727;amin
728;datang kesini tau bang alex like
729;sambal bawang bu rudi mantaaapp
730;gara bang alex tau sambal bu rudi
731;bawa pas kerjaan jepang auto panas perutnya
732;prn dikasih kakak surabaya botol cm ko rasa ny
733;ibu rudy
734;bang alex
735;sambel bu rudy emang enak banget suka menit belakang nya bu rudy
736;maksudnya pakai baju hijau brooo hahaha
737;mampiro rek jamin awakmu ketagihan
738;tau lewat thok hahaha
739;mantap bu rudy bolak balik liwat dharmahusada unair gubeng mampir nang bu rudy hehehehe
740;ngomong ngomong kesini tau sambel bu rudi bangalex wkwkwkwk
741;raihan saputra hahaha mamank
742;adik namanya rudi top
743;orang tionghwa semuannya kerja rajin and keras rejeki
744;suroboyo asli nambahi huruf kata mbandung
745;sambal nya mantap sayang pelayanan rumah makan nya kurang menyenangkan kurang ramah baru kali makan diliatin pelayan nya risiihh poll
746;desainnya dibagusin bukkk memikat pembeli baru
747;bu rudi bacalah syahadat bersaksi tuhan alloh bersaksi sesungguhnya nabi muhammad utusan allah selamat dunia akhirat biridhoillah
748;jdbdhd bbdhdh usah goblok kak
749;bayu rafiki iya mengajak agama penyelamat dunia akhirat
750;mantan boss ku hehehe
751;alamat nya depot bu rudy dsurabaya mampir makan ditempat beli sambalnya airport
752;raya dharmahusada bingung googling
753;ibu rudy masak ayam cocacola hehehe medan bu
754;enak enak nyambel dw
755;suka sambal cabai hijau ikan asinnya beli merah pedas mahal botol ribu
756;ganteng haha
757;sambalx benar manyos kesana terus beli nda nyesal beli bnyak ole
758;orang tionghoa logatnya jawa sih
759;main surabaya ta bang
760;sambel bu rudi bakso kang dadang pedas boss
761;amen ahirnya dptkhan alamatnya sambel bu rudi surabaya
762;sambal bu rudy the best pokoknya
763;pedas banget pedas sambel bu rudi bangalex
764;oranh jowo jowoni biarpun kaya sukses usaha terjun langsung humble inspiratif
765;pulang kampung coba beli ah bu rudy madiun nya asli madiun jakarta
766;misalnya suaminya ganti pak bambang merk sambel nya berubah jadi sambel bu bambang
767;bu rudi salah satu penggemar sambal bawangnya ibu enak rasanya berubah bertahun br kali lihat video ibu ternyata madiun nggeh bu hihi sukses bu rudi jadi kangen kampung halaman
768;surabaya bu rudy jakarta bu nanik samasama madiun mantap bu
769;sumpah sambel enak bnget
770;madiun hadir
771;doyanan istriku mah cemen doyan sambel pedas banget
772;bela belain pesan surabaya merasakan sambal bu rudi rasanya ttp nikmatseperti pertama kali akuncobain tahun skr endossss
773;kerennn buu semoga nyontoh kerja kerasnya
774;bu bagus pembli hargai orag pembli membwa rejeki nmya manusiaya gtur masalah rejeki ibu rudi bener bwrhasil citaya usaha bersail amiin
775;mk rasa sambal bu rudy bangalex
776;iyalah masakan cina enak asli rasa alias goblok sorry realituly
777;mantap
778;tulungagung hadir
779;sambal favorit nih kerabat surabaya minta nitip beli
780;sambalnya enakkkkkkkkkk
781;wih tulungagung
782;jowone hilang wkkkk
783;ibu ku
784;setuju banget terimakasih bu rudy ilmunya jadi semangat unt
785;sambelmu muantab bu
786;bu minta alamat toko trimks
787;kasih alamat sby
788;nenek
789;sukses mami rudy
790;allah lihat bu lany jadi inge bude logat logatnya suroboyan heheheh
791;sambal bu rudy emang enak banget tiga nya udang kering nya juara banget lengkap rasanya surabaya kota pahlawan membawa sambel ikonik
792;tulung agung masuk bu rudy kota cethe
793;sambel terenak ketagihan beli nya jauh banget
794;hidungnya hidung hoky bu semoga hoky ibu
795;wahh keren ibu menghargai tamu nya beda yah ngamuk tamu saudi hahahaah
796;salut bu rudy
797;biarpun orang china untung rendah hati dibesarkan orang jawa
798;tiba” teringat bang alex ekwkwk
799;salam kota gadis
801;sambal nya surabaya indomaret alfamaret jakarta dijual
802;tokopedia bukalapak banyaak
803;sambel omongin bang alex
804;orang tiong hoa sukses rata rata usaha toko ajarin mandiri ortunya diajari mempersiapkan masa depannya nyerah hari jadi sukses amien berharap noracis tolerance komenjelekbocah
805;aminnnn
806;bu sambel bawang mu nikmat tiada tara” dimakan pakai nasi enak banget rasanya astagaaaaaa
807;mindset nya bagus jadi pedoman berbisnis
808;alamatnya bu rudi
809;sambel mak yy enak cuy
810;suee taunya mhank alex gara gara akm pedas kaya sambel bu rudi
811;sih dgar taon surabaya
812;pelayanannya kurang ramah bu mohon diganti baru karyawannya
813;suka bu rudy menghargai pembeli kadang pemilik usaha lihat penampilan terus dicuekin jawabnya judes beli ngemis minta²
814;rata keturunan tioghoa ajarkan kerja keras salut luarbiasa
815;bu rudi masakane wenak
816;madiun seusia mbah
817;sambelnya enak
818;cinta kerjaan kendala sebesar apapun tetap senang benar pegang prinsip rejeki orang mengatur
819;mantepppp buk
820;akuin emang sambal bawangnya top markotop pedas stop makan pakai sambal bawangnya tertawa
821;enak jadi anaknya bu rudy bekel sekolah bervariasi
822;suka sambelnya
823;ibu rudy import taiwan hongkong korea bu
824;mantap bu rudy
825;bu matanya hitam
826;gokil si nich bu rudy saluuuttttt bu
827;kendala cinta kendala nomor kereeeen buuuuk jadi inspired
828;ibu jadi motivator niiii
829;waahh madiun mayarno tooopp
830;mantap tetap rendah hati terus berinovasi tiru bu sifatmu jos
831;masakan bu rudy emang legend membuktikannya pas dilidah sambel ijonya muantulll wkwk
832;ruginya digembleng orang tuaku masyaallah
833;suka prinsipnya alkitab mengatakan panjang umur kehormatan kekayaan tuhan tambahkan mendengar didikan orang tua taat orang tua hasilnya lihat ibu rudy prinsipnya mama siap komplain memperbaiki salah mantap sukses terus bu
834;mesti surabaya beli sambel bu rudy nama rudy hahahaha
835;duhh kayaknya manis lucu lewat
836;videonya tahun ramai baru hoiya ngomong ngomong pintar bikin lagu buruan bikin jingle sambel bu rudy gih
837;yaampun sambelnya enak banget
838;buk exsport negara timur tengah doong sambalnya philipin kurang pas lidah orang indonesia
839;mirip ibuk ibuk korea wkwkwk rambut nya sih kribo
840;penuh inspirasi buk mantaappppp ilmu super
841;sby endi eroh
842;sambel bu rudy amerika loh
843;sambel ibu rudy enak banget ketagihan asli wkwk
844;bawaan wajib surabaya berat bawaan oleholeh sambal
845;jawanya medokkk banget rek bilang bandung jadi mbandung heheh mantap bu rudi
846;keren banget sih
847;the best sambel merah nya galak nasi bikin nya
848;duuh beli online
849;sambel bawang bu rudy nampol abisss mantap kali nampol lidah
850;menginspirasi
851;bu coba masukin productnya oke oce mart jamin bu
852;senenge rek nek suroboyo ngomong medok ngoko senang tenan
853;nyari jogja susah banget enak solo
